ml_algo,bias,Monte_carlo_SE_bias,prct_bias,Monte_carlo_SE_prct_bias,abs_bias,Monte_carlo_abs_bias_SE,MSE,Monte_carlo_SE_MSE,empirical_SE,Monte_carlo_SE_empirical,time,nancount,n_conf,n_observations,iterations_monte_carlo,B_T,gamma,lam,linear,outcome_nuisance,propensity_nuisance,x_omit,Scenario,cov,Correlation,RMSE,DGP
T-learner,1.4437540321531916,0.0028630732082332,144.37540321531915,0.2863073208233236,1.4437540321531916,0.0028630732082332,2.0885161022682546,0.0082576749147366,0.0640202631816793,0.0020265260208736,0.251536693572998,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1-X10,10S,0.3411315850131502,0.3084647203019397,1.4451699215899334,Linear
X-learner,1.434367236849451,0.0029901450771998,143.43672368494512,0.2990145077199868,1.434367236849451,0.0029901450771998,2.061870912970903,0.00855990937173,0.0668616765520525,0.0021164693895033,0.8103971052169799,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X1-X10,10S,0.3411315850131502,0.3084647203019397,1.4359216249401996,Linear
XBCF,1.4577128143213502,0.0029433338726045,145.77128143213503,0.2943333872604558,1.4577128143213502,0.0029433338726045,2.129249592965196,0.0085735426485786,0.0658149461962149,0.0020833357190446,0.789692440032959,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1-X10,10S,0.3411315850131502,0.3084647203019397,1.4591948440716187,Linear
Linear Regression,1.2484924147821883,0.0026230797469046,124.84924147821884,0.2623079746904616,1.2484924147821883,0.0026230797469046,1.5621667029006134,0.006537316652545,0.0586538462448166,0.0018566550609473,0.0009944629669189,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X3-X20,All but 2S,0.2779258017400974,0.2022620985510756,1.2498666740499218,Linear
DML,1.2259763503692744,0.013599176131472,122.59763503692744,1.3599176131472008,1.2259763503692744,0.013599176131472,1.5953018698007122,0.0337021176709485,0.3040868226796402,0.009625700178962,0.5948443937301636,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X3-X20,All but 2S,0.2779258017400974,0.2022620985510756,1.2630525997759208,Linear
T-learner,1.2608671088683758,0.0029697542116009,126.08671088683758,0.2969754211600927,1.2608671088683758,0.0029697542116009,1.5941867668246823,0.0075084534558955,0.0664057229360596,0.0021020364299808,0.1221492433547973,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X3-X20,All but 2S,0.2779258017400974,0.2022620985510756,1.2626110908845536,Linear
X-learner,1.2560344657457625,0.0031672230133142,125.60344657457622,0.3167223013314242,1.2560344657457625,0.0031672230133142,1.5826281986476571,0.0079727636979099,0.0708212595767236,0.0022418078000708,0.4338382053375244,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X3-X20,All but 2S,0.2779258017400974,0.2022620985510756,1.2580255158968983,Linear
XBCF,1.2664866389610798,0.0027294659147388,126.64866389610798,0.2729465914738819,1.2664866389610798,0.0027294659147388,1.607705948772611,0.0069019293536886,0.0610327132762464,0.0019319567810559,0.234975643157959,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X3-X20,All but 2S,0.2779258017400974,0.2022620985510756,1.2679534489769768,Linear
Linear Regression,0.0575715258561659,0.0022725821591094,5.757152585616595,0.227258215910945,0.0648214408604866,0.0018402162891627,0.0058916307946885,0.0003022956479299,0.0508164819222198,0.0016085676282271,0.0035965633392333,0,20,2000,500,1.0,0.1,0.1,False,XGBRegressor,XGBClassifier,X999,No Omit,0.0001134372091634,0.0001576631317934,0.07675695925900465,Non-Linear
DML,-0.0810816216995985,0.011327742423636,-8.108162169959858,1.1327742423636074,0.2123601310931951,0.0071496963175588,0.0706047858371427,0.0043908438535874,0.2532960209085848,0.008017945441716,2.158671112060547,0,20,2000,500,1.0,0.1,0.1,False,XGBRegressor,XGBClassifier,X999,No Omit,0.0001134372091634,0.0001576631317934,0.2657156108269567,Non-Linear
